"","Corr"
"1",0.261746
"2",0.226491
"3",0.0922607
"4",0.126816
"5",0.213987
"6",0.317361
"7",0.314774
"8",0.0402806
"9",0.177352
"10",0.131593
"11",0.301022
"12",0.467004
"13",0.19426
"14",0.199962
"15",0.1354
"16",0.227753
"17",0.102637
"18",0.164394
"19",0.193813
"20",0.139376
"21",0.0813092
"22",0.19097
"23",0.308329
"24",NA
"25",0.266356
"26",0.245392
"27",0.207342
"28",0.23402
"29",0.138216
"30",0.351095
"31",-0.00974296
"32",0.0941853
"33",0.216247
"34",0.208943
"35",0.154335
"36",0.207978
"37",0.139706
"38",0.246986
"39",0.27933
"40",0.203121
"41",0.281193
"42",0.120645
"43",0.301428
"44",0.160283
"45",0.313175
"46",0.308465
"47",0.266196
"48",0.224458
"49",0.115983
"50",NA
"51",0.114309
"52",NA
"53",0.191481
"54",0.341252
"55",0.21697
"56",0.423135
"57",0.0962683
"58",0.107291
"59",0.160726
"60",0.187943
"61",0.415719
"62",0.0240089
"63",NA
"64",0.132393
"65",0.0817754
"66",0.191394
"67",0.03559
"68",0.0386728
"69",0.282035
"70",0.36034
"71",0.118523
"72",0.268836
"73",0.287138
"74",0.233562
"75",0.309131
"76",0.208407
"77",0.111274
"78",0.074391
"79",0.129308
"80",0.252665
"81",0.138388
"82",0.133933
"83",0.144706
"84",0.201164
"85",0.394408
"86",0.0469071
"87",0.365374
"88",0.4177
"89",0.241868
"90",0.278788
"91",0.200656
"92",0.411108
"93",0.149013
"94",0.148693
"95",0.254476
"96",0.300994
"97",0.257842
"98",0.124764
"99",0.225682
"100",0.347821
"101",0.166331
"102",0.168638
"103",0.150395
"104",0.0996427
"105",0.240186
"106",0.279606
"107",0.252686
"108",0.346707
"109",0.300153
"110",0.341816
"111",0.224796
"112",0.289223
"113",0.269294
"114",NA
"115",0.172146
"116",0.158703
"117",0.164491
"118",0.220375
"119",0.282501
"120",0.120295
"121",0.28305
"122",0.220071
"123",0.164909
"124",0.24592
"125",0.118711
"126",0.0613321
"127",0.305903
"128",0.281113
"129",0.249491
"130",0.313593
"131",0.28093
"132",0.189843
"133",0.091786
"134",0.0765136
"135",0.0332893
"136",0.172144
"137",0.348871
"138",0.183094
"139",0.258936
"140",0.0862271
"141",0.222173
"142",0.107053
"143",0.333245
"144",0.259501
"145",0.170484
"146",0.0504707
"147",0.140586
"148",0.305427
"149",0.0977458
"150",0.143268
"151",0.0526468
"152",0.168505
"153",0.377444
"154",0.0964594
"155",0.308768
"156",0.355469
"157",0.0892232
"158",0.30781
"159",0.224361
"160",0.113049
"161",0.0403849
"162",0.198826
"163",0.0512729
"164",0.193333
"165",0.149298
"166",0.128304
"167",0.219035
"168",0.241273
"169",0.0245074
"170",0.198205
"171",0.275148
"172",0.142136
"173",0.176551
"174",0.131656
"175",0.155398
"176",0.123623
"177",0.205972
"178",0.315136
"179",0.194417
"180",NA
"181",0.0486504
"182",0.181034
"183",0.301534
"184",-0.035452
"185",0.212519
"186",0.111518
"187",0.108336
"188",NA
"189",0.220539
"190",0.0821294
"191",0.215799
"192",0.211448
"193",0.23131
"194",0.227953
"195",0.0867184
"196",0.28911
"197",-0.0528016
"198",0.125161
"199",0.183689
"200",0.0725257
"201",0.109868
"202",0.139463
"203",0.15768
"204",0.203123
"205",0.134199
"206",0.142741
"207",0.257734
"208",0.161215
"209",0.167479
"210",0.216238
"211",0.21658
"212",0.309729
"213",0.259887
"214",0.183971
"215",0.148194
"216",-0.0142689
"217",0.00820639
"218",0.131643
"219",NA
"220",0.22502
"221",0.173331
"222",0.35166
"223",0.151912
"224",0.219911
"225",0.0290269
"226",0.253244
"227",0.273662
"228",0.0924522
"229",0.105061
"230",0.062978
"231",0.0946828
"232",0.137795
"233",0.0446952
"234",0.0166023
"235",0.300731
"236",0.285496
"237",0.0699131
"238",0.142665
"239",NA
"240",0.130049
"241",0.313165
"242",0.289054
"243",-0.00507433
"244",0.0945388
"245",0.151374
"246",0.174115
"247",0.165107
"248",0.0699551
"249",NA
"250",0.168
"251",0.149529
"252",0.108702
"253",0.193125
"254",0.237388
"255",0.045328
"256",0.159701
"257",0.123152
"258",0.091804
"259",0.151218
"260",NA
"261",0.206286
"262",0.182007
"263",0.135416
"264",0.0523876
"265",0.248699
"266",0.180184
"267",0.146211
"268",0.176596
"269",0.193644
"270",0.121053
"271",0.13264
"272",0.180977
"273",0.125761
"274",0.171754
"275",0.162955
"276",0.0983169
"277",0.176354
"278",0.164008
"279",0.176868
"280",NA
"281",0.0748237
"282",0.123653
"283",0.130381
"284",0.203741
"285",NA
"286",0.204661
"287",0.138192
"288",0.131511
"289",0.062911
"290",0.14364
"291",0.0744752
"292",0.0914617
"293",0.0443313
"294",0.113442
"295",0.021572
"296",0.0526831
"297",0.039748
"298",0.117117
"299",0.0851478
"300",0.0854807
"301",0.205218
"302",0.0472092
"303",NA
"304",0.145661
"305",0.113306
"306",0.207535
"307",0.203981
"308",0.123373
"309",0.0740099
"310",0.117974
"311",0.056559
"312",0.110399
"313",0.0520773
"314",0.0961355
"315",0.297944
"316",0.165175
"317",0.178974
"318",NA
"319",0.158262
"320",0.104933
"321",NA
"322",NA
"323",NA
"324",0.154022
"325",0.180935
"326",0.155706
"327",0.14311
"328",0.168112
"329",0.094397
"330",0.152163
"331",0.0733012
"332",0.102083
"333",0.0546488
"334",0.0743957
"335",0.0891889
"336",0.162415
"337",0.196913
"338",0.0711611
"339",0.148568
"340",0.174945
"341",0.0205049
"342",0.0526935
"343",0.112525
"344",0.279454
"345",0.0774617
"346",0.0799761
"347",0.0426845
"348",0.156594
"349",0.066569
"350",0.0526177
"351",NA
"352",0.0550947
"353",0.0261731
"354",0.0184432
"355",0.036856
"356",-0.00631912
"357",0.0439691
"358",0.086875
"359",0.0343154
"360",0.101875
"361",0.157301
"362",0.219254
"363",0.102531
"364",0.0299456
"365",0.133624
"366",0.039738
"367",0.111263
"368",3.9908e-05
"369",0.0147188
"370",0.076675
"371",0.0948789
"372",0.0458237
"373",0.112668
"374",0.109919
"375",0.0921581
"376",0.0469843
"377",0.0703006
"378",-0.0320956
"379",0.024175
"380",0.0425558
"381",0.0998286
"382",0.0774794
"383",0.145368
"384",0.166191
"385",0.0261556
"386",0.103812
"387",0.206744
"388",0.10869
"389",0.0985855
"390",0.257919
"391",0.124255
"392",0.152993
"393",0.101634
"394",0.0292715
"395",0.12302
"396",-0.00416026
"397",0.0418951
"398",0.180802
"399",0.00497272
"400",0.104182
"401",0.152952
"402",0.104342
"403",NA
"404",0.181977
"405",0.0204819
"406",0.118672
"407",0.128899
"408",0.0930109
"409",0.119481
"410",0.107519
"411",0.0323304
"412",0.0925932
"413",0.098787
"414",0.0139633
"415",0.0299773
"416",NA
"417",0.0352647
"418",0.417776
"419",0.132009
"420",0.0284764
"421",0.159496
"422",0.088481
"423",0.130698
"424",0.0258937
"425",0.0677364
"426",0.0492975
"427",0.144286
"428",0.0443422
"429",0.144623
"430",0.0888392
"431",0.152825
"432",-0.0433939
"433",0.0777947
"434",0.0852939
"435",0.134873
"436",0.161774
"437",0.137776
"438",0.225325
"439",-0.00363821
"440",NA
"441",0.10833
"442",0.0338917
"443",NA
"444",0.174291
"445",0.0613994
"446",0.204665
"447",0.031723
"448",0.0424458
"449",0.177793
"450",0.104527
"451",-0.0125969
"452",-0.0134502
"453",-0.0158952
"454",0.122522
"455",0.0607373
"456",0.118521
"457",0.138853
"458",0.166426
"459",0.0832666
"460",0.0489032
"461",0.0550269
"462",0.067827
"463",0.0726399
"464",0.154308
"465",0.127061
"466",NA
"467",0.190682
"468",0.0326669
"469",0.110767
"470",0.213656
"471",0.0780417
"472",0.0987456
"473",0.130466
"474",0.222682
"475",0.0282246
"476",0.145561
"477",0.145416
"478",NA
"479",0.00714517
"480",0.105464
"481",0.0190646
"482",0.200575
"483",0.259473
"484",0.0881056
"485",0.0465311
"486",0.0518279
"487",0.122509
"488",-0.00671323
"489",-0.0400203
"490",0.0574793
"491",0.053401
"492",0.0105292
"493",0.207034
"494",0.123991
"495",0.181794
"496",0.0905134
"497",-0.0105137
"498",NA
"499",0.206006
"500",0.33734
"501",0.0913042
"502",0.343331
"503",0.395562
"504",0.327099
"505",0.336636
"506",0.290325
"507",0.321075
"508",0.249938
"509",0.162873
"510",0.354407
"511",0.400249
"512",0.309009
"513",0.203034
"514",0.34171
"515",0.335172
"516",0.157029
"517",NA
"518",0.357888
"519",0.181458
"520",0.262586
"521",0.272781
"522",0.14024
"523",0.344265
"524",0.29199
"525",0.298652
"526",0.298792
"527",0.41608
"528",0.313864
"529",0.146924
"530",0.236186
"531",0.279077
"532",0.132069
"533",0.264008
"534",0.333022
"535",0.338621
"536",0.335521
"537",0.269263
"538",0.282426
"539",0.321087
"540",0.251196
"541",0.158551
"542",0.245397
"543",0.266994
"544",0.287057
"545",0.301057
"546",0.252757
"547",NA
"548",0.194328
"549",0.159139
"550",0.192254
"551",0.186823
"552",0.240205
"553",0.374892
"554",0.325619
"555",0.268815
"556",0.34004
"557",0.18186
"558",0.410035
"559",0.293635
"560",NA
"561",0.256956
"562",0.214869
"563",0.303184
"564",0.187084
"565",0.282437
"566",0.0807187
"567",0.446014
"568",0.392086
"569",0.118144
"570",0.329893
"571",0.274655
"572",0.17845
"573",0.315415
"574",0.361572
"575",0.0933852
"576",0.092441
"577",0.165454
"578",0.188958
"579",0.256943
"580",0.256066
"581",0.209734
"582",0.300999
"583",0.326975
"584",0.0926907
"585",0.328734
"586",0.376159
"587",0.252399
"588",0.279978
"589",NA
"590",0.268355
"591",0.169842
"592",0.190739
"593",0.387525
"594",0.216873
"595",0.238059
"596",NA
"597",0.289611
"598",0.301816
"599",0.176793
"600",0.26451
"601",0.266045
"602",0.256707
"603",0.23485
"604",0.235339
"605",0.210497
"606",0.25868
"607",0.281248
"608",0.265992
"609",0.2534
"610",0.279457
"611",0.304662
"612",NA
"613",0.200404
"614",0.248954
"615",0.180196
"616",0.202702
"617",0.235847
"618",0.157347
"619",0.230521
"620",0.219091
"621",0.252144
"622",0.281821
"623",0.109594
"624",0.118732
"625",0.226446
"626",0.226437
"627",0.248425
"628",0.270986
"629",0.24754
"630",0.211878
"631",0.127912
"632",0.180386
"633",0.168516
"634",0.159413
"635",0.252892
"636",0.221349
"637",0.343329
"638",0.12495
"639",0.288166
"640",0.137027
"641",0.431611
"642",0.328138
"643",0.165322
"644",0.119883
"645",0.0804857
"646",0.210007
"647",0.245804
"648",0.164108
"649",0.0928602
"650",0.315463
"651",0.273229
"652",NA
"653",0.363269
"654",0.268181
"655",0.309749
"656",0.377013
"657",0.180964
"658",0.13954
"659",0.137639
"660",0.225392
"661",0.055652
"662",0.221281
"663",0.114541
"664",NA
"665",0.327499
"666",0.358735
"667",0.0860104
"668",0.321095
"669",0.376162
"670",0.368787
"671",0.265698
"672",0.277138
"673",0.222268
"674",0.156293
"675",NA
"676",0.33637
"677",0.360015
"678",0.272319
"679",0.28133
"680",0.324607
"681",0.393713
"682",0.219041
"683",0.29744
"684",0.271516
"685",0.198489
"686",0.247448
"687",0.252501
"688",0.188118
"689",0.304379
"690",0.324162
"691",0.350566
"692",0.348437
"693",0.405173
"694",0.486052
"695",0.144001
"696",0.224866
"697",0.301766
"698",0.192776
"699",0.193565
"700",0.131162
"701",0.29743
"702",0.233095
"703",0.362413
"704",0.317151
"705",0.225799
"706",0.250201
"707",0.188371
"708",0.266616
"709",0.293135
"710",0.348061
"711",0.345197
"712",0.252087
"713",0.292359
"714",0.110581
"715",0.210524
"716",0.241089
"717",NA
"718",0.427669
"719",0.393255
"720",0.238979
"721",0.209071
"722",0.27684
"723",0.239786
"724",0.312902
"725",0.234515
"726",0.226778
"727",0.132429
"728",0.161469
"729",NA
"730",0.112027
"731",0.201908
"732",0.185146
"733",0.375528
"734",0.340239
"735",0.133967
"736",0.372202
"737",0.38888
"738",0.228494
"739",0.308263
"740",0.230133
"741",0.0714734
"742",0.112987
"743",0.17987
"744",0.210445
"745",0.25335
"746",0.194315
"747",NA
"748",0.194617
"749",0.242884
"750",0.0584078
"751",0.330454
"752",0.364633
"753",0.18593
"754",0.35754
"755",0.184297
"756",0.249977
"757",0.181383
"758",NA
"759",0.324014
"760",0.25256
"761",0.250966
"762",0.201695
"763",0.192547
"764",0.207967
"765",0.263763
"766",0.265464
