RegistrationPair,MI
1001_3x1000_3,-0.596483
1002_3x1000_3,-0.586835
1003_3x1000_3,-0.557926
1004_3x1000_3,-0.561828
1005_3x1000_3,-0.584597
1006_3x1000_3,-0.551752
1007_3x1000_3,-0.531142
1008_3x1000_3,-0.606323
1009_3x1000_3,-0.557549
1010_3x1000_3,-0.583347
1011_3x1000_3,-0.621604
1012_3x1000_3,-0.536378
1013_3x1000_3,-0.560516
1014_3x1000_3,-0.520622
1015_3x1000_3,-0.539114
1017_3x1000_3,-0.600967
1018_3x1000_3,-0.539248
1019_3x1000_3,-0.526046
1023_3x1000_3,-0.555397
1024_3x1000_3,-0.592951
1025_3x1000_3,-0.548681
1036_3x1000_3,-0.504585
1038_3x1000_3,-0.526184
1039_3x1000_3,-0.508156
1101_3x1000_3,-0.588939
1104_3x1000_3,-0.625355
1107_3x1000_3,-0.523938
1110_3x1000_3,-0.481856
1113_3x1000_3,-0.499375
1116_3x1000_3,-0.512668
1119_3x1000_3,-0.558772
1122_3x1000_3,-0.545614
1125_3x1000_3,-0.599959
1128_3x1000_3,-0.564273
1102_3x1000_3,-0.655329
1103_3x1000_3,-0.567523
1105_3x1000_3,-0.624336
1106_3x1000_3,-0.511318
1108_3x1000_3,-0.585286
1111_3x1000_3,-0.527198
1114_3x1000_3,-0.565125
1117_3x1000_3,-0.589523
1120_3x1000_3,-0.492077
1127_3x1000_3,-0.620003
1135_1x1000_3,-0.54337
1137_1x1000_3,-0.571465
1000_3x1001_3,-0.603082
1002_3x1001_3,-0.534981
1003_3x1001_3,-0.524129
1004_3x1001_3,-0.571845
1005_3x1001_3,-0.585064
1006_3x1001_3,-0.526335
1007_3x1001_3,-0.523507
1008_3x1001_3,-0.579406
1009_3x1001_3,-0.553865
1010_3x1001_3,-0.617155
1011_3x1001_3,-0.608425
1012_3x1001_3,-0.518041
1013_3x1001_3,-0.570242
1014_3x1001_3,-0.475917
1015_3x1001_3,-0.524321
1017_3x1001_3,-0.550953
1018_3x1001_3,-0.52272
