RegistrationPair,CC
1001_3x1000_3,0.987079
1002_3x1000_3,1.02439
1003_3x1000_3,1.06718
1004_3x1000_3,1.0737
1005_3x1000_3,1.03521
1006_3x1000_3,1.06158
1007_3x1000_3,1.05601
1008_3x1000_3,1.03896
1009_3x1000_3,1.03334
1010_3x1000_3,0.933914
1011_3x1000_3,1.02768
1012_3x1000_3,0.999238
1013_3x1000_3,1.01032
1014_3x1000_3,1.04809
1015_3x1000_3,1.06125
1017_3x1000_3,0.970552
1018_3x1000_3,1.02828
1019_3x1000_3,1.04677
1023_3x1000_3,1.07368
1024_3x1000_3,1.04134
1025_3x1000_3,1.07146
1036_3x1000_3,1.03507
1038_3x1000_3,1.04504
1039_3x1000_3,1.04272
1101_3x1000_3,0.984011
1104_3x1000_3,0.999889
1107_3x1000_3,0.995762
1110_3x1000_3,1.01869
1113_3x1000_3,1.00876
1116_3x1000_3,1.02023
1119_3x1000_3,1.00696
1122_3x1000_3,0.972268
1125_3x1000_3,0.939964
1128_3x1000_3,0.946241
1102_3x1000_3,1.06203
1103_3x1000_3,1.10628
1105_3x1000_3,1.06851
1106_3x1000_3,0.984076
1108_3x1000_3,1.05502
1111_3x1000_3,1.03923
1114_3x1000_3,0.999805
1117_3x1000_3,1.05768
1120_3x1000_3,0.988577
1127_3x1000_3,1.03313
1135_1x1000_3,0.732556
1137_1x1000_3,0.759565
1000_3x1001_3,1.03524
1002_3x1001_3,0.953697
1003_3x1001_3,1.02665
1004_3x1001_3,1.09178
1005_3x1001_3,1.0499
1006_3x1001_3,1.03733
1007_3x1001_3,1.02211
1008_3x1001_3,0.997453
1009_3x1001_3,1.04686
1010_3x1001_3,1.00379
1011_3x1001_3,1.06097
1012_3x1001_3,1.00686
1013_3x1001_3,1.06438
1014_3x1001_3,0.974307
1015_3x1001_3,1.05052
1017_3x1001_3,0.880644
1018_3x1001_3,1.00211
1019_3x1001_3,1.01579
1023_3x1001_3,1.02478
1024_3x1001_3,1.07501
1025_3x1001_3,1.09361
1036_3x1001_3,1.05304
1038_3x1001_3,1.01501
1039_3x1001_3,1.01252
1101_3x1001_3,0.938698
1104_3x1001_3,1.02228
1107_3x1001_3,0.884043
1110_3x1001_3,0.999299
1113_3x1001_3,0.967173
1116_3x1001_3,0.983606
1119_3x1001_3,0.964145
1122_3x1001_3,0.995288
1125_3x1001_3,0.992901
1128_3x1001_3,0.866007
1102_3x1001_3,1.03035
1103_3x1001_3,1.08389
1105_3x1001_3,0.968754
1106_3x1001_3,0.9289
1108_3x1001_3,0.954414
1111_3x1001_3,1.02678
1114_3x1001_3,0.945479
1117_3x1001_3,1.01743
1120_3x1001_3,1.02469
1127_3x1001_3,0.938596
1135_1x1001_3,0.746337
1137_1x1001_3,0.746255
1000_3x1002_3,1.05276
1001_3x1002_3,0.904624
1003_3x1002_3,1.00727
1004_3x1002_3,1.00021
1005_3x1002_3,0.985633
1006_3x1002_3,1.01565
1007_3x1002_3,1.00345
1008_3x1002_3,0.961633
1009_3x1002_3,0.966893
1010_3x1002_3,0.907467
1011_3x1002_3,0.940278
1012_3x1002_3,0.927434
1013_3x1002_3,0.920617
1014_3x1002_3,0.96523
1015_3x1002_3,1.04081
1017_3x1002_3,0.957715
1018_3x1002_3,0.968699
1019_3x1002_3,0.980662
1023_3x1002_3,1.00144
1024_3x1002_3,0.967913
1025_3x1002_3,1.02921
1036_3x1002_3,0.997125
1038_3x1002_3,0.983026
1039_3x1002_3,0.965408
1101_3x1002_3,0.938258
1104_3x1002_3,0.936219
1107_3x1002_3,1.01165
1110_3x1002_3,1.00788
1113_3x1002_3,0.966068
1116_3x1002_3,0.919629
1119_3x1002_3,0.971031
1122_3x1002_3,0.910348
1125_3x1002_3,0.8973
1128_3x1002_3,0.921738
1102_3x1002_3,0.97388
1103_3x1002_3,1.05577
1105_3x1002_3,1.07463
1106_3x1002_3,1.0301
1108_3x1002_3,0.996852
1111_3x1002_3,0.986008
1114_3x1002_3,1.01332
1117_3x1002_3,0.946527
1120_3x1002_3,0.962807
1127_3x1002_3,0.991391
1135_1x1002_3,0.662256
1137_1x1002_3,0.672504
1000_3x1003_3,1.08828
1001_3x1003_3,1.00047
1002_3x1003_3,0.987899
1004_3x1003_3,1.06347
1005_3x1003_3,1.01929
1006_3x1003_3,1.09111
1007_3x1003_3,1.06053
1008_3x1003_3,1.03816
1009_3x1003_3,1.01859
1010_3x1003_3,0.91239
1011_3x1003_3,1.00761
1012_3x1003_3,0.978556
1013_3x1003_3,1.00179
1014_3x1003_3,1.04894
1015_3x1003_3,1.09229
1017_3x1003_3,0.980993
1018_3x1003_3,1.03015
1019_3x1003_3,1.04875
1023_3x1003_3,1.16959
1024_3x1003_3,1.02532
1025_3x1003_3,1.05832
1036_3x1003_3,1.00676
1038_3x1003_3,1.04677
1039_3x1003_3,1.03343
1101_3x1003_3,1.0025
1104_3x1003_3,0.975843
1107_3x1003_3,0.995488
1110_3x1003_3,1.0623
1113_3x1003_3,1.06342
1116_3x1003_3,1.00235
1119_3x1003_3,1.0178
1122_3x1003_3,0.928755
1125_3x1003_3,0.949246
1128_3x1003_3,0.927383
1102_3x1003_3,1.04014
1103_3x1003_3,1.07337
1105_3x1003_3,1.0527
1106_3x1003_3,1.00031
1108_3x1003_3,1.02035
1111_3x1003_3,1.05977
1114_3x1003_3,1.0108
1117_3x1003_3,1.04305
1120_3x1003_3,0.98444
1127_3x1003_3,0.99852
1135_1x1003_3,0.724537
1137_1x1003_3,0.726864
1000_3x1004_3,1.03228
1001_3x1004_3,1.02285
