RegistrationPair,Mattes,Pearson
1001_3x1000_3,-0.443981,0.987079
1002_3x1000_3,-0.4414,1.02439
1003_3x1000_3,-0.410201,1.06718
1004_3x1000_3,-0.413793,1.0737
1005_3x1000_3,-0.455426,1.03521
1006_3x1000_3,-0.404959,1.06158
1007_3x1000_3,-0.386147,1.05601
1008_3x1000_3,-0.457646,1.03896
1009_3x1000_3,-0.402942,1.03334
1010_3x1000_3,-0.440446,0.933914
1011_3x1000_3,-0.479426,1.02768
1012_3x1000_3,-0.410294,0.999238
1013_3x1000_3,-0.420593,1.01032
1014_3x1000_3,-0.388948,1.04809
1015_3x1000_3,-0.393691,1.06125
1017_3x1000_3,-0.461766,0.970552
1018_3x1000_3,-0.397049,1.02828
1019_3x1000_3,-0.396281,1.04677
1023_3x1000_3,-0.413264,1.07368
1024_3x1000_3,-0.445273,1.04134
1025_3x1000_3,-0.41798,1.07146
1036_3x1000_3,-0.371435,1.03507
1038_3x1000_3,-0.386874,1.04504
1039_3x1000_3,-0.387845,1.04272
1101_3x1000_3,-0.450501,0.984011
1104_3x1000_3,-0.497826,0.999889
1107_3x1000_3,-0.384955,0.995762
1110_3x1000_3,-0.36166,1.01869
1113_3x1000_3,-0.37409,1.00876
1116_3x1000_3,-0.379959,1.02023
1119_3x1000_3,-0.411186,1.00696
1122_3x1000_3,-0.4138,0.972268
1125_3x1000_3,-0.458805,0.939964
1128_3x1000_3,-0.424705,0.946241
1102_3x1000_3,-0.504871,1.06203
1103_3x1000_3,-0.423208,1.10628
1105_3x1000_3,-0.486128,1.06851
1106_3x1000_3,-0.384384,0.984076
1108_3x1000_3,-0.446749,1.05502
1111_3x1000_3,-0.381189,1.03923
1114_3x1000_3,-0.418564,0.999805
1117_3x1000_3,-0.447972,1.05768
1120_3x1000_3,-0.365599,0.988577
1127_3x1000_3,-0.477688,1.03313
1135_1x1000_3,-0.409782,0.732556
1137_1x1000_3,-0.431925,0.759565
1000_3x1001_3,-0.457986,1.03524
1002_3x1001_3,-0.403105,0.953697
1003_3x1001_3,-0.389857,1.02665
1004_3x1001_3,-0.42567,1.09178
1005_3x1001_3,-0.449451,1.0499
1006_3x1001_3,-0.393042,1.03733
1007_3x1001_3,-0.383779,1.02211
1008_3x1001_3,-0.440454,0.997453
1009_3x1001_3,-0.405914,1.04686
1010_3x1001_3,-0.468663,1.00379
1011_3x1001_3,-0.461631,1.06097
1012_3x1001_3,-0.387301,1.00686
1013_3x1001_3,-0.430689,1.06438
1014_3x1001_3,-0.356597,0.974307
1015_3x1001_3,-0.385378,1.05052
1017_3x1001_3,-0.423526,0.880644
1018_3x1001_3,-0.389544,1.00211
1019_3x1001_3,-0.373114,1.01579
1023_3x1001_3,-0.392855,1.02478
1024_3x1001_3,-0.45639,1.07501
1025_3x1001_3,-0.419352,1.09361
1036_3x1001_3,-0.363812,1.05304
1038_3x1001_3,-0.379387,1.01501
1039_3x1001_3,-0.355259,1.01252
1101_3x1001_3,-0.427244,0.938698
1104_3x1001_3,-0.476532,1.02228
1107_3x1001_3,-0.346697,0.884043
1110_3x1001_3,-0.361945,0.999299
1113_3x1001_3,-0.365701,0.967173
1116_3x1001_3,-0.351802,0.983606
1119_3x1001_3,-0.384828,0.964145
1122_3x1001_3,-0.395626,0.995288
1125_3x1001_3,-0.469485,0.992901
1128_3x1001_3,-0.382418,0.866007
1102_3x1001_3,-0.484739,1.03035
1103_3x1001_3,-0.407662,1.08389
1105_3x1001_3,-0.427485,0.968754
1106_3x1001_3,-0.368982,0.9289
1108_3x1001_3,-0.39159,0.954414
1111_3x1001_3,-0.37452,1.02678
1114_3x1001_3,-0.389586,0.945479
1117_3x1001_3,-0.411632,1.01743
1120_3x1001_3,-0.376512,1.02469
1127_3x1001_3,-0.411336,0.938596
1135_1x1001_3,-0.427326,0.746337
1137_1x1001_3,-0.445854,0.746255
1000_3x1002_3,-0.48617,1.05276
1001_3x1002_3,-0.401249,0.904624
1003_3x1002_3,-0.37831,1.00727
1004_3x1002_3,-0.381339,1.00021
1005_3x1002_3,-0.445601,0.985633
1006_3x1002_3,-0.386862,1.01565
1007_3x1002_3,-0.366164,1.00345
1008_3x1002_3,-0.431124,0.961633
1009_3x1002_3,-0.359006,0.966893
1010_3x1002_3,-0.413915,0.907467
1011_3x1002_3,-0.429147,0.940278
1012_3x1002_3,-0.374895,0.927434
1013_3x1002_3,-0.384241,0.920617
1014_3x1002_3,-0.363926,0.96523
1015_3x1002_3,-0.379629,1.04081
1017_3x1002_3,-0.465081,0.957715
1018_3x1002_3,-0.375829,0.968699
1019_3x1002_3,-0.354915,0.980662
1023_3x1002_3,-0.390656,1.00144
1024_3x1002_3,-0.417811,0.967913
1025_3x1002_3,-0.406317,1.02921
1036_3x1002_3,-0.327669,0.997125
1038_3x1002_3,-0.365315,0.983026
1039_3x1002_3,-0.345347,0.965408
1101_3x1002_3,-0.450448,0.938258
1104_3x1002_3,-0.441014,0.936219
1107_3x1002_3,-0.390194,1.01165
1110_3x1002_3,-0.352672,1.00788
1113_3x1002_3,-0.359892,0.966068
1116_3x1002_3,-0.32634,0.919629
1119_3x1002_3,-0.381513,0.971031
1122_3x1002_3,-0.369745,0.910348
1125_3x1002_3,-0.439496,0.8973
1128_3x1002_3,-0.412834,0.921738
1102_3x1002_3,-0.451785,0.97388
1103_3x1002_3,-0.399877,1.05577
1105_3x1002_3,-0.489244,1.07463
1106_3x1002_3,-0.398801,1.0301
1108_3x1002_3,-0.413257,0.996852
1111_3x1002_3,-0.346174,0.986008
1114_3x1002_3,-0.410179,1.01332
1117_3x1002_3,-0.39853,0.946527
1120_3x1002_3,-0.335043,0.962807
1127_3x1002_3,-0.44262,0.991391
1135_1x1002_3,-0.361912,0.662256
1137_1x1002_3,-0.378301,0.672504
1000_3x1003_3,-0.479646,1.08828
1001_3x1003_3,-0.44471,1.00047
1002_3x1003_3,-0.418012,0.987899
1004_3x1003_3,-0.412071,1.06347
1005_3x1003_3,-0.438966,1.01929
1006_3x1003_3,-0.427109,1.09111
1007_3x1003_3,-0.394002,1.06053
1008_3x1003_3,-0.45643,1.03816
1009_3x1003_3,-0.401186,1.01859
1010_3x1003_3,-0.435093,0.91239
1011_3x1003_3,-0.449719,1.00761
1012_3x1003_3,-0.387825,0.978556
1013_3x1003_3,-0.408588,1.00179
1014_3x1003_3,-0.385625,1.04894
1015_3x1003_3,-0.418601,1.09229
1017_3x1003_3,-0.446728,0.980993
1018_3x1003_3,-0.401587,1.03015
1019_3x1003_3,-0.38855,1.04875
1023_3x1003_3,-0.534895,1.16959
1024_3x1003_3,-0.436172,1.02532
1025_3x1003_3,-0.409901,1.05832
1036_3x1003_3,-0.350294,1.00676
1038_3x1003_3,-0.391588,1.04677
1039_3x1003_3,-0.368618,1.03343
1101_3x1003_3,-0.444927,1.0025
1104_3x1003_3,-0.461085,0.975843
1107_3x1003_3,-0.376538,0.995488
1110_3x1003_3,-0.390749,1.0623
1113_3x1003_3,-0.409549,1.06342
1116_3x1003_3,-0.360076,1.00235
1119_3x1003_3,-0.414459,1.0178
